timestamp,open,high,low,close,volume
2021-12-18,46176.1,47340.29,45510.91,46849.19,580.816332
2021-12-19,46849.19,48304.83,46437.15,46681.75,858.51694
2021-12-20,46681.75,47500.0,45566.01,46910.34,744.947008
2021-12-21,46910.34,49318.01,46651.17,48901.71,1072.469813
2021-12-22,48901.71,49554.0,48421.5,48596.73,811.536777
2021-12-23,48596.73,51345.67,48031.06,50787.05,1452.390729
2021-12-24,50787.05,51822.46,50415.59,50811.54,1522.955519
2021-12-25,50811.54,51127.04,50189.0,50404.25,1447.0968
2021-12-26,50404.25,51266.53,49420.41,50771.79,1207.320243
2021-12-27,50771.79,52072.17,50469.73,50674.5,1881.51612
2021-12-28,50674.5,50697.77,47325.65,47540.0,3957.093337
2021-12-29,47540.0,48152.43,46086.15,46479.27,2829.059053
2021-12-30,46479.27,47907.73,45959.84,47117.73,1495.990106
2021-12-31,47117.73,48587.71,45668.58,46198.56,1960.62086
2022-01-01,46198.56,47949.99,46198.56,47729.81,1267.849837
2022-01-02,47729.81,47974.43,46666.0,47286.53,1167.114272
2022-01-03,47286.53,47569.18,45727.44,46450.57,1331.044018
2022-01-04,46450.57,47517.97,45572.35,45828.49,1160.030517
2022-01-05,45828.49,47045.55,42518.73,43419.31,1682.634323
2022-01-06,43419.31,43782.71,42434.63,43097.54,1747.791241
2022-01-07,43097.54,43140.22,40625.0,41550.0,1900.137277
2022-01-08,41550.0,42300.0,40521.62,41676.13,731.92936
2022-01-09,41676.13,42775.7,41215.49,41855.61,653.508305
2022-01-10,41855.61,42239.21,39655.01,41819.2,1389.32042
2022-01-11,41819.2,43107.79,41261.08,42725.58,1249.436355
2022-01-12,42725.58,44291.32,42450.0,43907.95,1226.75935
2022-01-13,43907.95,44414.76,42312.4,42570.32,1009.413836
2022-01-14,42570.32,43443.07,41761.01,43067.32,1120.230974
2022-01-15,43067.32,43791.34,42550.01,43070.0,673.455636
2022-01-16,43070.0,43477.37,42600.0,43080.24,567.618805
2022-01-17,43080.24,43177.52,41545.35,42203.61,836.904092
2022-01-18,42203.61,42666.35,41287.08,42361.25,1107.802138
2022-01-19,42361.25,42550.44,41139.25,41650.45,1275.558558
2022-01-20,41650.45,43499.98,40580.0,40700.0,1344.186273
2022-01-21,40700.0,41104.67,35457.0,36443.48,2916.074421
2022-01-22,36443.48,36831.94,34021.01,35047.73,2151.268584
2022-01-23,35047.73,36499.0,34629.61,36266.26,786.486142
2022-01-24,36266.26,37540.2,32961.52,36667.55,2523.80255
2022-01-25,36667.55,37529.98,35715.71,36953.45,1121.807029
2022-01-26,36953.45,38903.48,36256.91,36817.96,1467.601021
2022-01-27,36817.96,37213.11,35513.34,37200.09,1301.609684
2022-01-28,37200.09,37990.0,36163.56,37711.78,1308.561533
2022-01-29,37711.78,38749.93,37310.0,38148.85,835.429182
2022-01-30,38148.85,38377.14,37360.14,37944.21,652.494489
2022-01-31,37944.21,38768.13,36655.0,38454.49,1422.541491
2022-02-01,38454.49,39274.99,37978.46,38697.45,1304.355036
2022-02-02,38697.45,38858.16,36606.09,36898.91,1242.965677
2022-02-03,36898.91,37421.07,36244.75,37306.64,993.738339
2022-02-04,37306.64,41703.3,37032.29,41549.33,1715.620839
2022-02-05,41549.33,41900.0,40933.97,41369.52,1092.79674
2022-02-06,41369.52,42669.98,41124.86,42377.65,696.826581
2022-02-07,42377.65,44480.0,41653.86,43823.01,1820.65264
2022-02-08,43823.01,45470.0,42666.0,44027.52,2091.155938
2022-02-09,44027.52,44799.1,43117.81,44374.57,1849.159864
2022-02-10,44374.57,45799.0,43200.0,43486.15,2615.52904
2022-02-11,43486.15,43913.02,41962.86,42373.25,2183.277402
2022-02-12,42373.25,42990.12,41737.59,42208.29,702.23933
2022-02-13,42208.29,42750.0,41871.01,42051.54,739.292748
2022-02-14,42051.54,42842.48,41560.66,42532.78,1529.84663
2022-02-15,42532.78,44747.61,42415.05,44537.97,1535.568549
2022-02-16,44537.97,44545.13,43279.2,43852.75,1082.940949
2022-02-17,43852.75,44157.06,40050.0,40538.28,1896.762825
2022-02-18,40538.28,40950.03,39437.16,39969.71,1500.174704
2022-02-19,39969.71,40447.35,39642.04,40091.28,571.37656
2022-02-20,40091.28,40112.35,38000.0,38379.6,922.334473
2022-02-21,38379.6,39478.12,36788.93,37001.54,2358.966791
2022-02-22,37001.54,38419.12,36334.18,38242.38,1837.647049
2022-02-23,38242.38,39250.0,37033.48,37222.66,1422.586624
2022-02-24,37222.66,39790.0,34311.12,38320.27,3447.056833
2022-02-25,38320.27,39682.36,38027.31,39199.35,1619.855918
2022-02-26,39199.35,40315.83,38581.0,39104.76,768.381481
2022-02-27,39104.76,39858.29,37000.0,37662.03,1313.542721
2022-02-28,37662.03,44225.71,37436.93,43178.53,2420.552195
2022-03-01,43178.53,44978.55,42834.83,44409.75,1932.448519
2022-03-02,44409.75,45338.18,43324.95,43900.44,1591.960403
2022-03-03,43900.44,44083.33,41843.94,42467.63,1968.83472
2022-03-04,42467.63,42517.19,38522.16,39147.92,4275.329252
